poem content,pred,label,score,anger,disgust,fear,joy,neutral,sadness,surprise,age,type,label_num
"Although you hide in the ebb and flow
Of the pale tide when the moon has set,
The people of coming days will know
About the casting out of my net,
And how you have leaped times out of mind
Over the little silver cords,
And think that you were hard and unkind,
And blame you with many bitter words.",0.0,anger,0.89363587,0.89363587,0.034992125,0.002905874,0.001786835,0.028249929,0.03618441,0.002245032,Modern,Nature,0
"Avising the bright beams of these fair eyes
Where he is that mine oft moisteth and washeth,
The wearied mind straight from the heart departeth
For to rest in his worldly paradise
And find the sweet bitter under this guise.
What webs he hath wrought well he perceiveth
Whereby with himself on love he plaineth
That spurreth with fire and bridleth with ice.
Thus is it in such extremity brought,
In frozen thought, now and now it standeth in flame.
Twixt misery and wealth, twixt earnest and game,
But few glad, and many diverse thought
With sore repentance of his hardiness.
Of such a root cometh fruit fruitless.",5.0,sadness,0.66037405,0.22384924,0.06081325,0.004348715,0.005414059,0.041999053,0.66037405,0.00320161,Renaissance,Love,5
"She has no need to fear the fall
Of harvest from the laddered reach
Of orchards, nor the tide gone ebbing
      From the steep beach.

Nor hold to pain's effrontery
Her body's bulwark, stern and savage,
Nor be a glass, where to forsee
      Another's ravage.

What she has gathered, and what lost,
She will not find to lose again.
She is possessed by time, who once
      Was loved by men.",2.0,fear,0.8817146,0.049588278,0.008512225,0.8817146,0.002776148,0.00765304,0.048282534,0.001473189,Modern,Nature,2
"Januarie. gloga prima. ARGVMENT.

    IN this fyrst glogue Colin clout a shepheardes boy complaineth him of his vnfortunate loue, being but newly (as semeth) enamoured of a countrie lasse called Rosalinde: with which strong affection being very sore traueled, he compareth his carefull case to the sadde season of the yeare, to the frostie ground, to the frosen trees, and to his owne winterbeaten flocke. And lastlye, fynding himselfe robbed of all former pleasaunce and delights, hee breaketh his Pipe in peeces, and casteth him selfe to the ground.


COLIN Cloute.


A Shepeheards boye (no better doe him call)
when Winters wastful spight was almost spent,
All in a sunneshine day, as did befall,
Led forth his flock, that had been long ypent.
So faynt they woxe, and feeble in the folde,
That now vnnethes their feete could them vphold.


All as the Sheepe, such was the shepeheards looke,
For pale and wanne he was, (alas the while,)
May seeme he lovd, or els some care he tooke:
Well couth he tune his pipe, and frame his stile.
Tho to a hill his faynting flocke he ledde,
And thus him playnd, the while his shepe there fedde.


Ye gods of loue, that pitie louers payne,
(if any gods the paine of louers pitie:)
Looke from aboue, where you in ioyes remaine,
And bowe ",5.0,sadness,0.46473804,0.3593817,0.010176388,0.094412744,0.03229734,0.020138763,0.46473804,0.018855043,Renaissance,Nature,5
"Nightmare of beasthood, snorting, how to wake.
I woke. What beasthood skin she made me take?
Leathery toad that ruts for days on end,
Or cringing dribbling dog, man's servile friend,
Or cat that prettily pounces on its meat,
Tortures it hours, then does not care to eat:
Parrot, moth, shark, wolf, crocodile, ass, flea.
What germs, what jostling mobs there were in me.
These seem like bristles, and the hide is tough.
No claw or web here: each foot ends in hoof.
Into what bulk has method disappeared?
Like ham, streaked. I am gross—grey, gross, flap-eared.
The pale-lashed eyes my only human feature.
My teeth tear, tear. I am the snouted creature
That bites through anything, root, wire, or can.
If I was not afraid I'd eat a man.
Oh a man's flesh already is in mine.
Hand and foot poised for risk. Buried in swine.
I root and root, you think that it is greed,
It is, but I seek out a plant I need.
Direct me gods, whose changes are all holy,
To where it flickers deep in grass, the moly:
Cool flesh of magic in each leaf and shoot,
From milky flower to the black forked root.
From this fat dungeon I could rise to skin
And human title, putting pig within.
I push my big grey wet snout through the green,
Dreaming the flower I have never seen",1.0,disgust,0.50471216,0.029024886,0.50471216,0.3705019,0.001768996,0.064048246,0.014722485,0.015221366,Modern,Mythology & Folklore,1
"To say that he was unhappy is either to say too much
or too little: depending on who's the audience.
Still, the smell he'd give off was a bit too odious,
and his canter was also quite hard to match.
He said, They meant just a monument, but something went astray:
the womb? the assembly line? the economy?
Or else, the war never happened, they befriended the enemy,
and he was left as it is, presumably to portray
Intransigence, Incompatibility—that sort of thing which proves
not so much one's uniqueness or virtue, but probability.
For years, resembling a cloud, he wandered in olive groves,
marveling at one-leggedness, the mother of immobility.
Learned to lie to himself, and turned it into an art
for want of a better company, also to check his sanity.
And he died fairly young—because his animal part
turned out to be less durable than his humanity.",1.0,disgust,0.9210785,0.009661192,0.9210785,0.009923996,0.000816694,0.03888795,0.015763849,0.003867854,Modern,Mythology & Folklore,1
"Seen my lady home las' night,
Jump back, honey, jump back.
Hel' huh han' an' sque'z it tight,
Jump back, honey, jump back.
Hyeahd huh sigh a little sigh,
Seen a light gleam f'om huh eye,
An' a smile go flittin' by 
Jump back, honey, jump back.

Hyeahd de win' blow thoo de pine,
Jump back, honey, jump back.
Mockin'-bird was singin' fine,
Jump back, honey, jump back.
An' my hea't was beatin' so,
When I reached my lady's do',
Dat I could n't ba' to go 
Jump back, honey, jump back.

Put my ahm aroun' huh wais',
Jump back, honey, jump back.
Raised huh lips an' took a tase,
Jump back, honey, jump back.
Love me, honey, love me true?
Love me well ez I love you?
An' she answe'd, ""'Cose I do""
Jump back, honey, jump back.",3.0,joy,0.5823997,0.01658231,0.006955735,0.006576907,0.5823997,0.24778484,0.09896501,0.040735442,Modern,Love,3
"Spring, the sweet spring, is the years pleasant king,
Then blooms each thing, then maids dance in a ring,
Cold doth not sting, the pretty birds do sing:
      Cuckoo, jug-jug, pu-we, to-witta-woo!

The palm and may make country houses gay,
Lambs frisk and play, the shepherds pipe all day,
And we hear aye birds tune this merry lay:
      Cuckoo, jug-jug, pu-we, to-witta-woo!

The fields breathe sweet, the daisies kiss our feet,
Young lovers meet, old wives a-sunning sit,
In every street these tunes our ears do greet:
      Cuckoo, jug-jug, pu-we, to witta-woo!
            Spring, the sweet spring!",3.0,joy,0.86166173,0.019444862,0.003949688,0.013374581,0.86166173,0.06768325,0.018474482,0.015411382,Renaissance,Nature,3
"   So in Pieria, from the wedded bliss
Of Time and Memory, the Muses came
To be the means of rich oblivion,
And rest from cares.  And when the Thunderer
Took heaven, then the Titans warred on him
For pity of mankind. But the great law,
Which is the law of music, not of bread,
Set Atlas for a pillar, manacled
His brother to the rocks of the Scythia,
And under Aetna fixed the furious Typhon.
So should thought rule, not force. And Amphion,
Pursuing justice, entered Thebes and slew
His mother's spouse; but when he would make sure
And fortify the city, then he took
The lyre that Hermes gave, and played, and watched
The stones move and assemble, till a wall
Engirded Thebes and kept the citadel
Beyond the reach of arrows and of fire.
What other power but harmony can build
A city, and what gift so magical
As that by which a city lifts its walls?
So men, in years to come, shall feel the power
Of this man moving through the high-ranged thought
Which plans for beauty, builds for larger life.
The stones shall rise in towers to answer him.",0.0,anger,0.90006495,0.90006495,0.039415505,0.002738537,0.002628616,0.013164109,0.038943253,0.003045006,Modern,Mythology & Folklore,0
"See the chariot at hand here of Love,
Wherein my lady rideth!
Each that draws is a swan or a dove,
And well the car Love guideth.
As she goes, all hearts do duty
Unto her beauty;
And enamour'd, do wish, so they might
But enjoy such a sight,
That they still were to run by her side,
Through swords, through seas, whither she would ride.

Do but look on her eyes, they do light
All that Love's world compriseth!
Do but look on her hair, it is bright
As Love's star when it riseth!
Do but mark, her forehead's smoother
Than words that soothe her;
And from her arched brows, such a grace
Sheds itself through the face
As alone there triumphs to the life
All the gain, all the good, of the elements' strife.

Have you seen but a bright lily grow,
Before rude hands have touch'd it?
Ha' you mark'd but the fall o' the snow
Before the soil hath smutch'd it?
Ha' you felt the wool o' the beaver?
Or swan's down ever?
Or have smelt o' the bud o' the briar?
Or the nard in the fire?
Or have tasted the bag of the bee?
Oh so white! Oh so soft! Oh so sweet is she!",3.0,joy,0.75942224,0.018188938,0.014872972,0.00346581,0.75942224,0.113800704,0.069269456,0.02097987,Renaissance,Love,3
