poem content,label,confidence
"That, though 'tis pleasant weaving Nets,",joy,0.969
"The angel answered, ""Nay, sad soul, go higher!",sadness,0.9618
"When I have parted hence, may know,",sadness,0.9589
Broke by the share of every rustic plough:,neutral,0.8723
Richest weavings of Pohyola.,disgust,0.9085
It may be that in some great need,neutral,0.872
"Oh, I'm the happiest, happiest man in Rome!",joy,0.9854
"Knitted each to each by links of light,",neutral,0.9409
At such a curious earth!,surprise,0.9093
And put your resolution to the test.,neutral,0.9186
"To some the powers of bloody war belong,",anger,0.8896
Its ample greeting.,joy,0.9056
"Each hour more bright and dear,",joy,0.956
"And make a fellow mortal happier,",joy,0.8684
"And shine the stars, a silver, mocking throng,",anger,0.881
"God spreads a carpet for our weary feet,",sadness,0.902
"To chat, to laugh, to sing, to read,",joy,0.8963
"""You have stayed long enough,"" said the Elves at length, ""we have",neutral,0.9652
"The wanton Love shall one day fear,",fear,0.985
"When, with his senses all astray,",fear,0.8747
You peep up from your utterly naked boards,disgust,0.9503
"""Fare-thee-well, from thee I'm parting!""",anger,0.8711
"Now Harry speaks to Rover,",neutral,0.869
The weary vessel o'er a length of deeps;,sadness,0.9565
To paint in mystic colours Sound and Thought.,neutral,0.8593
She had nae will to say him na:,neutral,0.8517
"Yon stream, whose sources run",neutral,0.8942
The bow the frosty smile belied.,joy,0.8639
"Sister, in dreadful places have we sought",fear,0.9365
The recollection of his shame.,disgust,0.8632
"And lay these shafts with incense on a fire,",anger,0.9586
It pleased the Lord of Angels (praise His name!),joy,0.9768
Their cellar's biggest butt with Rhenish.,disgust,0.9679
Not timidly she came; but coy approach,fear,0.9741
"Had evermore bemoaned him, day or night:",sadness,0.9589
"_Yoshi-ko_         ""The Happy.""",joy,0.869
And in my heart fight selfishness and sin:,anger,0.9657
"earlier meanings of to try, probe, search.",neutral,0.9058
"Say rather, gaun as Premiers lead him,",neutral,0.9154
"Calm and unmoved as though no soul were near,",sadness,0.908
"Into the quiet gloom, where thou art now.",sadness,0.9069
Another mouthful more.,disgust,0.945
"And mock the fools that praise them, till the end!",anger,0.9039
"But first a long succession must ensue,",neutral,0.8816
"Ahti's bride, my second daughter,",joy,0.8763
"I cannot change, as others do,",neutral,0.8864
"_Near_ where _the Thames_ in pleasant Windings runs,",joy,0.9094
Or one whose looks could make great Mars to fear.,fear,0.8782
"Fit retribution, emptie as thir deeds;",anger,0.8585
"And himself pursued his journey,",neutral,0.8595
"To thee the beast with furious course did pass,",anger,0.9868
"That's where the money went, as I have said.",neutral,0.9391
Spoke the very words which follow:,neutral,0.9495
"That should have crown'd Penelope with joy,",joy,0.9463
And big with horror traverses the fane.,fear,0.9729
